idTemporada,#,nombre,posición,nacionalidad,club,idClub,partidosJugados,asistencias,penales,minutosJugados,minutosPorGol,golesPorPartido,goles
T10,8,Luís Fabiano,Delantero centro,Brasil,Sevilla FC,C36,23,3,1,1642.0,109.0,65.0,15.0
T10,9,Fernando Llorente,Delantero centro,España,Athletic,C2,37,5,4,2842.0,203.0,38.0,14.0
T10,10,Nino,Delantero centro,España,CD Tenerife,C7,38,1,0,3361.0,240.0,37.0,14.0
T11,1,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,34,13,8,2914.0,73.0,118.0,40.0
T11,2,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,33,21,4,2862.0,92.0,94.0,31.0
T11,3,Álvaro Negredo,Delantero centro,España,Sevilla FC,C36,38,7,4,2611.0,131.0,53.0,20.0
T11,4,Sergio Agüero,Delantero centro,Argentina,Atlético Madrid,C3,32,4,1,2662.0,133.0,63.0,20.0
T11,5,David Villa,Delantero centro,España,FC Barcelona,C11,34,11,0,2742.0,152.0,53.0,18.0
T11,6,Giuseppe Rossi,Delantero centro,Italia,Villarreal CF,C40,36,7,4,3000.0,167.0,50.0,18.0
T11,7,Fernando Llorente,Delantero centro,España,Athletic,C2,38,6,0,3163.0,176.0,47.0,18.0
T11,8,Roberto Soldado,Delantero centro,España,Valencia CF,C39,34,3,1,2414.0,134.0,53.0,18.0
T11,9,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,33,4,0,1887.0,126.0,45.0,15.0
T11,10,Salomón Rondón,Delantero centro,Venezuela,Málaga CF,C18,30,2,0,2417.0,173.0,47.0,14.0
T12,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,37,19,10,3270.0,65.0,135.0,50.0
T12,2,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,38,12,12,3353.0,73.0,121.0,46.0
T12,3,Radamel Falcao,Delantero centro,Colombia,Atlético Madrid,C3,34,4,5,2933.0,122.0,71.0,24.0
T12,4,Gonzalo Higuaín,Delantero centro,Argentina,Real Madrid,C26,35,9,0,1712.0,78.0,63.0,22.0
T12,5,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,34,8,0,2242.0,107.0,62.0,21.0
T12,6,Roberto Soldado,Delantero centro,España,Valencia CF,C39,32,3,1,2438.0,143.0,53.0,17.0
T12,7,Fernando Llorente,Delantero centro,España,Athletic,C2,32,1,0,2236.0,132.0,53.0,17.0
T12,8,Rubén Castro,Delantero centro,España,Real Betis,C25,34,5,0,2955.0,185.0,47.0,16.0
T12,9,Michu,Mediapunta,España,Rayo Vallecano,C24,37,4,0,3281.0,219.0,41.0,15.0
T12,10,Arouna Koné,Delantero centro,Costa de Marfil,Levante UD,C17,34,4,0,2925.0,195.0,44.0,15.0
T13,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,32,13,4,2629.0,57.0,144.0,46.0
T13,2,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,34,11,6,2716.0,80.0,100.0,34.0
T13,3,Radamel Falcao,Delantero centro,Colombia,Atlético Madrid,C3,34,1,8,2896.0,103.0,82.0,28.0
T13,4,Álvaro Negredo,Delantero centro,España,Sevilla FC,C36,36,4,4,3024.0,121.0,69.0,25.0
T13,5,Roberto Soldado,Delantero centro,España,Valencia CF,C39,35,4,5,2922.0,122.0,69.0,24.0
T13,6,Rubén Castro,Delantero centro,España,Real Betis,C25,34,8,2,2952.0,164.0,53.0,18.0
T13,7,Piti,Mediocentro ofensivo,España,Rayo Vallecano,C24,35,2,5,2810.0,156.0,51.0,18.0
T13,8,Gonzalo Higuaín,Delantero centro,Argentina,Real Madrid,C26,28,5,0,1744.0,109.0,57.0,16.0
T13,9,Carlos Vela,Extremo derecho,México,Real Sociedad,C29,35,11,4,2683.0,192.0,40.0,14.0
T13,10,Aritz Aduriz,Delantero centro,España,Athletic,C2,36,6,1,2552.0,182.0,39.0,14.0
T14,1,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,30,11,6,2537.0,82.0,103.0,31.0
T14,2,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,31,11,6,2498.0,89.0,90.0,28.0
T14,3,Diego Costa,Delantero centro,España,Atlético Madrid,C3,35,3,5,2952.0,109.0,77.0,27.0
T14,4,Alexis Sánchez,Delantero centro,Chile,FC Barcelona,C11,34,12,0,2375.0,125.0,56.0,19.0
